,r,Hx,CHx,Ne,Ve,Na,Va,PiEgoGalter,PiEgoGalters
155,6,11.648242999999999,10.864221,27210,6008,3519,1347,0.11244240142729746,0.19045092995417784
156,7,14.488437,10.861271,27210,6008,26456,4177,0.0,0.19073279374873803
157,8,15.136348000000002,10.795991,27210,6008,41635,8522,0.0,0.1969521911319357
158,9,12.270967,10.657678,27210,6008,28976,4723,0.042701330782518594,0.210021013821031
159,10,14.723123999999999,10.651247,27210,6008,28504,6952,0.0,0.21062521683550328
160,11,12.377545,10.541207,27210,6008,32022,4495,0.029028760909002096,0.2209184336671783
161,12,14.549215,10.541207,27210,6008,24432,4386,0.0,0.2209184336671783
162,13,11.107613,10.328561,27210,6008,21026,5592,0.16693708344946237,0.24058073999419158
163,14,15.327681,10.327884,27210,6008,46779,6342,0.0,0.2406428825890824
164,15,14.137994,10.292993,27210,6008,34975,4279,0.0,0.243841798071655
165,1,8.303431,8.303431,15897,4518,30121,5288,0.39586001313405306,0.39586001313405306
166,2,11.604054,8.195049000000001,15897,4518,46101,5117,0.07626856163167416,0.4052360549705216
167,3,8.093182,8.001967,15897,4518,9932,2602,0.4140072679184262,0.4218280642846949
168,4,7.807557000000001,7.702864999999999,15897,4518,13085,4324,0.43839454653904736,0.4472594190814083
169,5,10.523046,7.660224,15897,4518,22183,5612,0.1912686329213535,0.4508589832852046
170,6,10.120232000000001,7.601255,15897,4518,25898,4430,0.23062152921279275,0.4558264200691757
171,7,12.902614999999999,7.600958,15897,4518,9060,6735,0.0,0.4558514082071752
172,8,10.368671,7.58862,15897,4518,15607,10587,0.2065068657039682,0.4568891977991648
173,9,11.965892,7.587511999999999,15897,4518,12003,7780,0.030757831608336134,0.4569823695397941
174,10,14.872434,7.587511999999999,15897,4518,29995,6945,0.0,0.4569823695397941
175,11,8.010588,7.456498,15897,4518,14811,3216,0.42109022542777347,0.46796961510019036
176,12,8.144453,7.449421000000001,15897,4518,2236,1306,0.40959754099404017,0.4685614478565923
177,13,6.1720440000000005,7.448295,15897,4518,148,94,0.5727449493605089,0.4686555969243181
178,14,10.095256,7.425492,15897,4518,21890,5943,0.23302013613145184,0.47056131799466566
179,15,10.767836,7.425492,15897,4518,2031,1313,0.16664739342211,0.47056131799466566
180,1,8.267673,8.267673,17444,3350,832,538,0.37547454541904274,0.37547454541904274
181,2,13.982911999999999,8.464644,17444,3350,19471,3417,0.0,0.35743626247793864
182,3,9.502456,8.366228,17444,3350,29126,4274,0.25895368995595697,0.3664721864476556
183,4,13.25296,8.353587,17444,3350,17487,8544,0.0,0.36762942640796026
184,5,8.4306,7.582039999999999,17444,3350,42298,6496,0.3605672686317756,0.43690604017148643
185,6,8.644255000000001,7.414413000000001,17444,3350,28358,5409,0.34082224041186,0.45162756440090085
186,7,8.76137,7.116272,17444,3350,19979,3746,0.3298999948335344,0.4775421589360032
187,8,10.451116,7.090774000000001,17444,3350,43450,4862,0.16205676050804915,0.4797428823641594
188,9,7.267057,6.698979,17444,3350,18853,3357,0.46447815820471416,0.5132602354693093
189,10,8.941229,6.638658,17444,3350,13759,3122,0.3129823851051802,0.5183718308096444
190,11,8.763836,6.569072,17444,3350,29162,4780,0.3296692345413935,0.5242527126956487
191,12,7.53037,6.563386,17444,3350,1777,789,0.44145574049926867,0.5247325046716041
192,13,7.259766,6.383955,17444,3350,28224,5240,0.4651118266283779,0.5398157654082555
193,14,9.268633,6.376412999999999,17444,3350,1687,833,0.28170658671141285,0.5404473388391738
194,15,7.215875,6.288525,17444,3350,18185,3699,0.46892217334041014,0.5477928914728029
210,1,14.338388,14.338388,20570,5053,20715,2426,0.0,0.0
211,2,8.650075,8.696098,20570,5053,18452,4757,0.374438628462654,0.3704539282454674
212,3,13.986048,8.692912,20570,5053,18016,3586,0.0,0.3707300479221198
213,4,14.116076999999999,8.650283,20570,5053,35224,7337,0.0,0.37442063874660114
214,5,13.894632000000001,8.55378,20570,5053,49791,11389,0.0,0.3827487087203644
215,6,11.362374,8.467995,20570,5053,12527,7675,0.11928996490094547,0.39012131856671955
216,7,8.080177,7.562276,20570,5053,26104,4548,0.42310711993640787,0.46632998024042654
217,8,7.074508,7.522719,20570,5053,1218,450,0.5062343787885457,0.46959443206199436
218,9,9.073078,7.338374000000001,20570,5053,55049,7993,0.3374846903777343,0.48474095899194236
219,10,11.481007,7.315208,20570,5053,33320,6196,0.10657240906737644,0.48663669907471546
220,11,8.713517,7.196416999999999,20570,5053,29244,4038,0.36894355971640314,0.49633116300187535
221,12,11.29425,7.193892999999999,20570,5053,6513,4454,0.12648589439696464,0.49653666599624646
222,13,12.867532,7.192071,20570,5053,22316,4694,0.0,0.49668500012154687
223,14,10.501762,7.173807000000001,20570,5053,15302,3171,0.20602899643949196,0.49817135275859276
224,15,9.927728,7.1426229999999995,20570,5053,32849,3067,0.2602752450678032,0.5007067606116329
225,1,9.326080000000001,9.326080000000001,13392,3863,1589,1160,0.29022451532336585,0.29022451532336585
226,2,11.079289,9.029031,13392,3863,9069,2360,0.11281350926513337,0.3179336599350846
227,3,10.454803,8.83325,13392,3863,26303,4173,0.17955607222217235,0.3359393896172907
228,4,8.281734,7.5463059999999995,13392,3863,32785,5256,0.38567334759075494,0.44998204827580174
229,5,8.334317,7.277825,13392,3863,23378,4381,0.38099065678090066,0.47294432589788526
230,6,11.138694000000001,7.237588000000001,13392,3863,25998,4461,0.10613190076045821,0.4763632987886619
231,7,11.468103999999999,7.2361960000000005,13392,3863,7109,4507,0.06741153302062701,0.4764814755028565
232,8,13.942842,7.230597,13392,3863,36163,4188,0.0,0.47695674492648027
233,9,12.676471000000001,7.221537,13392,3863,23936,4551,0.0,0.4777255655283152
234,10,13.195829000000002,7.21298,13392,3863,30920,7051,0.0,0.4784514359804397
235,11,9.941882000000001,7.173777,13392,3863,23303,5507,0.23105945928882565,0.4817736381696552
236,12,12.598758,7.161635,13392,3863,25753,5322,0.0,0.482801499712256
237,13,9.347703,7.100797,13392,3863,20309,3372,0.2881880290103489,0.48794388497350594
238,14,12.423661,7.094031,13392,3863,22406,4378,0.0,0.48851499064448156
239,15,8.070832000000001,7.004599000000001,13392,3863,10188,3746,0.4043372333257863,0.49604890499896276
240,1,9.630453999999999,9.630453999999999,25865,3710,28673,7082,0.2571302298910989,0.2571302298910989
241,2,14.087242999999999,9.604216000000001,25865,3710,31401,6632,0.0,0.25966879242437474
242,3,11.674344999999999,9.436746000000001,25865,3710,40904,8057,0.03305943299691924,0.27576404813159305
243,4,6.9977979999999995,7.337248,25865,3710,7414,2093,0.494139249269646,0.46522396015361617
244,5,9.509587,7.160227000000001,25865,3710,19255,3794,0.2687859058772294,0.48035445197548127
245,6,12.513288000000001,7.157905,25865,3710,9172,5520,0.0,0.4805521706764787
246,7,8.124835000000001,6.8499039999999995,25865,3710,33143,4622,0.3964661312187376,0.5066103076625981
247,8,6.928819,6.843414999999999,25865,3710,532,297,0.49996527505546207,0.5071557604867435
248,9,7.262971,6.625716000000001,25865,3710,13379,2365,0.4715864288353912,0.5253721618813283
249,10,13.926110999999999,6.625716000000001,25865,3710,15566,4385,0.0,0.5253721618813283
250,11,9.839443,6.568655000000001,25865,3710,30584,6194,0.23673666874120824,0.5301204795179844
251,12,9.379963,6.505344,25865,3710,35970,9202,0.2811805809932008,0.5353762181940737
252,13,5.171394,6.5047489999999994,25865,3710,58,41,0.643130137887204,0.5354255489225793
253,14,7.167667999999999,6.395722,25865,3710,12238,3398,0.4797207198782753,0.5444451605790852
254,15,6.738442,6.387804,25865,3710,739,382,0.5159596166989014,0.5450986832042746
255,1,8.570443,8.570443,45160,4007,15127,5583,0.36284621228232145,0.36284621228232145
256,2,6.950872,6.967169999999999,45160,4007,11910,3222,0.5027639920389957,0.5014035547777241
257,3,7.249585000000001,6.5753509999999995,45160,4007,19331,4750,0.47768633453470194,0.5338663340897237
