,r,Hx,CHx,Ne,Ve,Na,Va,PiEgoGalter,PiEgoGalters
169,5,10.602756,7.630832000000001,15897,4518,21746,8844,0.18331640309661223,0.4533364222225436
170,6,13.942695,7.630097999999999,15897,4518,22159,9096,0.0,0.4533982522325403
171,7,13.598529999999998,7.622642999999999,15897,4518,30475,11915,0.0,0.4540261334234128
172,8,12.497284,7.595133000000001,15897,4518,26704,10308,0.0,0.4563414336815314
173,9,14.029301,7.593723,15897,4518,25767,10388,0.0,0.456460031633768
174,10,13.823876,7.590859,15897,4518,24632,10046,0.0,0.45670090729231083
175,11,8.380327000000001,7.464424,15897,4518,18550,9428,0.38917983358620833,0.46730658089009486
176,12,8.55379,7.397603999999999,15897,4518,18129,8340,0.37402310532444993,0.47288962370105087
177,13,8.480411,7.277747,15897,4518,31809,15746,0.3804497559956853,0.48286656537174877
178,14,8.432111,7.232361,15897,4518,16559,7348,0.3846679033334496,0.4866320655810478
179,15,12.928888,7.232361,15897,4518,7798,4005,0.0,0.4866320655810478
180,1,7.752366,7.752366,17444,3350,28780,11903,0.4218317981794283,0.4218317981794283
181,2,8.470309,7.412463000000001,17444,3350,28646,11009,0.3569147061681499,0.45179816823894065
182,3,7.692104,7.137397,17444,3350,28058,13013,0.42717868199941017,0.47571703409660204
183,4,8.950674000000001,7.1287009999999995,17444,3350,2855,1729,0.31208900861481526,0.4764685391323961
184,5,7.587271,6.926194000000001,17444,3350,27580,12798,0.43644483849370724,0.49389006377950856
185,6,9.233291,6.880841,17444,3350,16303,7018,0.28511427520475074,0.4977712139581635
186,7,11.195872999999999,6.867341000000001,17444,3350,11091,5203,0.07743395815691986,0.4989250618783966
187,8,8.999775999999999,6.858353,17444,3350,5890,3012,0.307436367098014,0.49969290428633634
188,9,7.766303,6.78366,17444,3350,24391,12686,0.42059306698292126,0.5060626997332508
189,10,8.27493,6.782379,17444,3350,625,428,0.37481322102096787,0.5061717691151305
190,11,11.256824,6.772424000000001,17444,3350,21747,9067,0.06986814420433518,0.5070191778389037
191,12,7.7071190000000005,6.691934,17444,3350,26064,12644,0.42584784163193873,0.5138578882814486
192,13,7.9139669999999995,6.642765,17444,3350,23098,9239,0.4074184841339263,0.5180242094173739
193,14,8.35784,6.591425,17444,3350,29463,11146,0.36724016389069486,0.5223654477481454
194,15,9.042808,6.563486999999999,17444,3350,26731,10562,0.3033474152809799,0.5247239831421473
210,1,8.375844,8.375844,20570,5053,4976,3258,0.3980096767094442,0.3980096767094442
211,2,12.284194,8.275097,20570,5053,24661,10212,0.0054954849344334405,0.40659741394975535
212,3,9.064006,7.821047,20570,5053,25382,12909,0.3382852488647706,0.4448474245026403
213,4,12.428234,7.797871000000001,20570,5053,27236,10999,0.0,0.4467805765800523
214,5,9.078683999999999,7.614047,20570,5053,26882,13452,0.33698980651108507,0.462049839772336
215,6,12.935847,7.605136,20570,5053,21579,9118,0.0,0.4627871785035651
216,7,9.299474,7.598505,20570,5053,3126,1932,0.3173856170539535,0.4633356898042242
217,8,9.197766,7.508324000000001,20570,5053,28228,14101,0.32644419160249,0.47078112056648724
218,9,8.545724,7.441265,20570,5053,3220,2135,0.3834422769454046,0.47630046870859605
219,10,8.58407,7.421803999999999,20570,5053,3803,2365,0.3801386723674992,0.47789951289759297
220,11,8.662499,7.260739,20570,5053,26634,13929,0.37336378620430094,0.49108737960078197
221,12,14.687447,7.2601130000000005,20570,5053,29831,11647,0.0,0.4911384760181472
222,13,8.181919,7.212188,20570,5053,3298,2289,0.4145067050758604,0.49504664529511977
223,14,6.0014199999999995,7.211815,20570,5053,94,88,0.5914933098283177,0.49507703438721196
224,15,10.943247,7.211815,20570,5053,1969,1235,0.16254730109630575,0.49507703438721196
225,1,9.867659,9.867659,13392,3863,26558,12291,0.2383292199583053,0.2383292199583053
226,2,8.697196,8.402357,13392,3863,29597,14855,0.3483396369757405,0.37491364957751655
227,3,8.012031,8.333982,13392,3863,2689,1903,0.4095080695597923,0.38102052744117676
228,4,8.660121,8.055653999999999,13392,3863,27036,13905,0.3517033091712078,0.4056733018380256
229,5,8.447655000000001,7.997949,13392,3863,7061,4457,0.37085655367256093,0.41074433108049824
230,6,5.547672,7.997949,13392,3863,70,67,0.6150914090201298,0.41074433108049824
231,7,10.430177,7.9359210000000004,13392,3863,26057,10620,0.18208557684662313,0.416180300954256
232,8,12.560627,7.925350999999999,13392,3863,21561,9212,0.0,0.4171050956999516
233,9,8.919155,7.810975,13392,3863,28658,14015,0.3280628574204231,0.4270839391601112
234,10,9.095557000000001,7.745432000000001,13392,3863,26456,12824,0.3117700622225843,0.43277931884169235
235,11,11.166802,7.7095020000000005,13392,3863,31963,12538,0.10294377673868059,0.4358944560012416
236,12,11.508658,7.698411,13392,3863,27789,11204,0.0623836911839948,0.4368550514313848
237,13,5.182185,7.6976960000000005,13392,3863,54,49,0.6439150250339593,0.4369169617553383
238,14,13.524837,7.695178,13392,3863,21686,9346,0.0,0.4371349745079607
239,15,10.875598,7.695178,13392,3863,2034,1350,0.1352148521097773,0.4371349745079607
240,1,8.028992,8.028992,25865,3710,32162,13699,0.4049657599913451,0.4049657599913451
241,2,7.660482000000001,7.470372,25865,3710,23232,11984,0.4372977661063747,0.4537700261939509
242,3,7.813192,7.213947999999999,25865,3710,30906,15492,0.4239651671604437,0.4757747143202436
243,4,7.756314,6.99975,25865,3710,31548,15083,0.42894167994815846,0.4939741405826153
244,5,7.222046000000001,6.983625,25865,3710,2620,1718,0.47508345829227033,0.4953376646647621
245,6,7.6990490000000005,6.846086,25865,3710,32582,16160,0.4339392097284652,0.5069312588578607
246,7,9.74951,6.8043059999999995,25865,3710,19078,8178,0.2455512006981103,0.5104401359743086
247,8,9.451582,6.758975,25865,3710,28473,11620,0.2743455107896906,0.514240508034122
248,9,10.943728,6.734400999999999,25865,3710,33040,12808,0.12218176025851614,0.5162977779012413
249,10,9.866625,6.705467999999999,25865,3710,32091,12445,0.23406053895959708,0.5187173522508042
250,11,12.391636,6.698110000000001,25865,3710,30334,11925,0.0,0.5193322274776704
251,12,8.850302000000001,6.6536729999999995,25865,3710,32920,14878,0.33080183944384073,0.5230417549276094
252,13,10.368935,6.637339999999999,25865,3710,29739,11770,0.18348229982357803,0.5244035400703169
253,14,12.450145,6.633478,25865,3710,22436,9297,0.0,0.5247254086763073
254,15,7.955814,6.564029,25865,3710,34172,14704,0.4114296996860121,0.530504955614023
255,1,7.684939,7.684939,45160,4007,14746,8777,0.4405763933272245,0.4405763933272245
256,2,8.182417,7.112497,45160,4007,31138,12193,0.39730120947635705,0.48923305971003117
257,3,7.610281,6.828778999999999,45160,4007,30400,15424,0.4469891278529209,0.512927206125575
258,4,10.296445,6.774378,45160,4007,33087,12798,0.1999839945354697,0.5174397168310578
259,5,7.56872,6.620674,45160,4007,32658,16333,0.45055009575313537,0.5301369284157794
260,6,10.006457000000001,6.584458000000001,45160,4007,33851,13038,0.22871551893434194,0.5331174962232335
261,7,8.497354,6.531269,45160,4007,29956,11806,0.36938602002509974,0.5374872757917211
262,8,12.05855,6.525092,45160,4007,28963,11668,0.0,0.5379941624937962
263,9,8.524499,6.511919,45160,4007,10536,5076,0.3669599330239456,0.5390747347738045
264,10,7.66367,6.444891999999999,45160,4007,32760,14214,0.4424053948507135,0.5445643209884378
265,11,7.7365,6.411044,45160,4007,14101,7365,0.43613545757494565,0.5473310702514318
266,12,7.564425,6.361699,45160,4007,23096,12301,0.4509177328209912,0.5513580386551349
267,13,7.828864,6.3416760000000005,45160,4007,15921,8127,0.4281551104473877,0.5529898875161974
268,14,7.547197,6.309787,45160,4007,19836,10974,0.4523917128732236,0.5555861890574003
269,15,7.762295,6.279488,45160,4007,21680,12402,0.4339099940967077,0.5580500723148336
275,1,11.375136999999999,11.375136999999999,33374,10127,31299,14425,0.1992402030120637,0.1992402030120637
276,2,13.616764000000002,11.306543,33374,10127,27699,11092,0.0,0.20529648366113684
277,3,11.119771,10.613877,33374,10127,31024,15079,0.22164558699045508,0.2650056634062685
