,r,Hx,CHx,CHxA,PiEgoGalters,PiEgoGaltersAndEgo
209,15,6.647741,5.698144,5.593231,0.6218491548925276,0.6297490308009908
210,1,9.820519,9.820519,8.728527,0.3367095264850954,0.42265180911019185
211,2,14.639515,9.817465,8.726867,0.33695504606664595,0.42277982958207716
212,3,15.339367,9.8324,8.721739,0.3357540816938565,0.4231752576890349
213,4,14.620659,9.826496,8.718668,0.3362289281538344,0.42341203319405446
214,5,15.043787,9.826699,8.718224,0.3362126032316926,0.42344626368378274
215,6,10.429728,9.130634,8.257232,0.391416029129042,0.45870513150353104
216,7,13.952105,9.101221,8.2365,0.39371634996154053,0.46027788336239744
217,8,14.549239,9.097176,8.233849,0.3940325041816211,0.46047891251977824
218,9,10.671962,8.813672,8.043481,0.41607529528614745,0.4748686278788464
219,10,14.542244,8.781078,8.021739,0.41859516235512756,0.47650633763298755
220,11,11.318199,8.766852,8.010335,0.4196940737561036,0.47736487373657344
221,12,14.746078,8.765166,8.008982,0.4198242750527887,0.4774667113867519
222,13,9.371707,8.112586,7.659304,0.4696555303353961,0.5036368311851037
223,14,13.789921,8.035451,7.627706,0.4754736213822885,0.505987166415102
224,15,9.867777,7.852882,7.483291,0.4891859222667198,0.5166990609856965
225,1,6.690625,6.690625,5.950599,0.5405694279514484,0.5983812150568208
226,2,12.888636,6.63792,5.929911,0.5447380221084516,0.5999754656063595
227,3,11.156673,6.592159,5.910627,0.5483509274052834,0.6014604625986232
228,4,8.688141,6.475872,5.86585,0.5575050790076465,0.6049046547036213
229,5,14.223153,6.474234,5.864785,0.5576337483513757,0.6049865062627552
230,6,10.763653,6.474063,5.864636,0.5576471804268431,0.6049979575475827
231,7,6.297032,6.45525,5.860236,0.5591244384298133,0.6053360888698346
232,8,10.66212,6.44706,5.85672,0.5597672307949692,0.605606248404697
233,9,6.928292,6.433242,5.850251,0.5608513067659111,0.6061032196645009
234,10,6.833591,6.132717,5.672739,0.5842959918842671,0.6196956816824343
235,11,6.548552,6.10098,5.651563,0.5867571667646772,0.6213114352997917
236,12,6.917718,5.997241,5.586303,0.5947825873528991,0.6262831793184322
237,13,6.736852,5.995259,5.585909,0.5949356289296908,0.6263131605227682
238,14,11.77851,5.98237,5.577755,0.5959305984096724,0.6269335398366254
239,15,10.990198,5.972305,5.571033,0.5967072503574105,0.6274448327844807
240,1,11.82718,11.82718,6.668379,0.05661493820394894,0.5352471887004036
241,2,6.908499,7.367337,6.461622,0.47815670132453425,0.5518458777723567
242,3,12.931828,7.298158,6.439201,0.4838764971235647,0.5536381576655591
243,4,6.664185,6.754951,6.297538,0.5282586744043422,0.564927839567582
244,5,7.337494,6.723372,6.292035,0.5308105329600142,0.5653651978647336
245,6,7.202922,6.336706,6.104256,0.5618123296156601,0.5802359304275738
246,7,8.310467,6.334041,6.10293,0.5620244532758947,0.58034057358218
247,8,6.447313,6.317684,6.095865,0.5633259474242807,0.5808980317115452
248,9,9.714172,6.287052,6.084912,0.5657611514853147,0.5817619822271082
249,10,7.122917,6.114898,5.972967,0.5793959165975318,0.5905720108422402
250,11,12.958106,6.105446,5.966774,0.5801420155458313,0.5910583382441392
